id;descripcion;fecha
1;Año nuevo;2019-01-01
2;Día del Veterano y de los Caídos en Malvinas;2019-04-02
3;Viernes Santo;2019-04-19
4;Día del Trabajador;2019-05-01
5;Revolución de Mayo;2019-05-25
6;Paso a la inmortalidad del General Martín Miguel de Güemes;2019-06-17
7;Paso a la inmortalidad de Manuel Belgrano;2019-06-20
8;Día de la Independencia (Puente);2019-07-08
9;Día de la Independencia;2019-07-09
10;Paso a la inmortalidad del General José de San Martín;2019-08-19
11;Día del Respeto a la Diversidad Cultural;2019-10-14
12;Día de la Soberanía Nacional;2019-11-18
13;Navidad;2019-12-25
