id;codigo;nombre;anio_inicio_produccion;anio_fin_produccion;marca;plan_id
1;ETIO;Etios;2013;null;TOYOTA;1
2;CORO;Corolla;1995;null;TOYOTA;1
3;AVEN;Avensis;1995;2009;TOYOTA;1
4;CAM;Camry;1995;null;TOYOTA;2
5;INNO;Innova;2017;null;TOYOTA;2
6;YAR;Yaris;2011;null;TOYOTA;1
7;PRI;Prius;2009;null;TOYOTA;7
8;86;'86;2012;null;TOYOTA;6
9;SW4;SW4;2017;null;TOYOTA;3
10;HIL;Hilux;1995;null;TOYOTA;3
11;RAV4;Rav4;1995;null;TOYOTA;3
12;LAND;Land Cruiser;1995;null;TOYOTA;3
13;300;300;2003;null;HINO;4
14;300B;300 Bus;2003;null;HINO;4
15;LIS;IS;2005;null;LEXUS;5
16;LES;ES;2005;null;LEXUS;5
17;LGS;GS;2005;null;LEXUS;5
18;LLS;LS;2005;null;LEXUS;5
19;LRC;RC;2005;null;LEXUS;5
20;LLC;LC;2005;null;LEXUS;5
21;LUX;UX;2005;null;LEXUS;5
22;LNX;NX;2005;null;LEXUS;5
23;LRX;RX;2005;null;LEXUS;5
