id;codigo;descripcion;tipo
6000;DIAG;Diagnóstico General;INSPECCION
5452;BUJ;Bujias de Encendido;CAMBIO
5451;ACM;Aceite de Motor;CAMBIO
6001;FAM;Filtro de aceite de motor;CAMBIO
6002;FAI;Filtro de aire;CAMBIO
6003;FCO;Filtro de combustible;CAMBIO
6004;FFE;Fluidos de freno / embrague;CAMBIO
6005;FTM;Fluidos de transmisión manual;CAMBIO
6006;FAC;Filtro de aire acondicionado;CAMBIO
6032;LDM;Lubricante de motor;CAMBIO
6007;SAC;Sistema de Aire acondicionado y calefacción;INSPECCION
6008;BAT;Batería;INSPECCION
6009;FCA;Filtro de carbón activado;INSPECCION
6010;CSA;Conexiones de sistema de aire acondicionado;INSPECCION
6011;CCO;Conexiones de combustible;INSPECCION
6012;CTR;Correas transmisoras;INSPECCION
6013;CEM;Conductos de escape y montajes;INSPECCION
6014;EAV;Extremos articulados y volantes;INSPECCION
6015;FAA;Filtro de aire acondicionado;INSPECCION
6016;FTR;Fluidos de transmisión manual;INSPECCION
6017;PEM;Pedal de embrague;INSPECCION
6018;GSE;Guardapolvos de semiejes;INSPECCION
6019;HVA;Holgura de válvulas;INSPECCION
6020;BYL;Bocinas y luces interiores / exteriores;INSPECCION
6021;NRM;Nivel de refrigerante de motor;INSPECCION
6022;NFF;Nivel de fluidos de freno / embrague;INSPECCION
6024;PDF;Pastillas y discos de freno;INSPECCION
6025;PFM;Pedal de freno y freno de mano;INSPECCION
6026;PIN;Presión de inflado de neumáticos;INSPECCION
6027;STD;Suspensión trasera y delantera;INSPECCION
6028;TMC;Tuberías, mangueras y conectores de freno;INSPECCION
6029;FIA;Filtro de aire;INSPECCION
6030;ZTF;Zapatas y tambores de freno;INSPECCION
6031;RNE;Rotación de neumáticos;INSPECCION
6033;FDP;Fluidos de dirección de potencia;INSPECCION
6034;NLL;Nivel rec. Limpiaparabrisas;INSPECCION
6035;ASG;Articulaciones y sus Guardapolvos;INSPECCION
6036;FTA;Fluido de transmisión automática;INSPECCION
6037;LDM;Filtro de lubricante de motor;INSPECCION
6038;FDD;Fluidos de diferenciales;INSPECCION
6039;FT4;Fluidos de transferencia (4x4);INSPECCION
6040;HER;Humos de escape y rendimiento;INSPECCION
