id;nombre;codigo;interno;adicional;tipo_recurso
5502;Pre Entrega;PENT;true;false;ASESOR
5503;Mantenimiento;MANT;false;false;BAHIA
5504;Mantenimiento Express;MANX;true;false;BAHIA
5505;Garantía;GART;true;false;ASESOR
5506;Campaña;CAMP;false;false;ASESOR
5507;Reparación;REPA;true;false;TECNICO
5508;Diagnóstico;DIAG;false;false;BAHIA
5509;Chapa y Pintura;CHYP;true;false;BAHIA
5510;Instalación de Accesorios;IDAC;true;true;BAHIA
5511;Cambio de Batería;CBAT;false;true;BAHIA
5512;Cambio de Neumáticos;CNEU;false;true;BAHIA
5513;Otros;OTRO;true;true;BAHIA
